X,avg_log2FC,pct.1,pct.2,p_val_adj
Pramel1,0,0,0,1
Pramel3,0,0,0,1
Pramel4,0,0,0,1
Pramel5,0,0,0,1
Pramel6,0,0,0,1
Pramel7,-0.10622486,0.003,0.002,1
Prap1,-0.058566939,0.011,0.009,1
Prb1,0,0,0,1
Prc1,0.132079235,0.054,0.05,1
Prcc,0.208128987,0.247,0.24,1
Prcd,0.075125718,0.008,0.01,1
Prcp,0.002699871,0.246,0.263,1
Prdm1,-0.276544737,0.008,0.01,1
Prdm10,0.240424268,0.471,0.451,1
Prdm11,0.321138612,0.236,0.206,1
Prdm12,-0.795286805,0.003,0.006,1
Prdm13,0,0,0,1
Prdm14,0,0,0,1
Prdm15,0.039146301,0.368,0.374,1
Prdm16,-0.628878576,0.012,0.014,1
Prdm16os,0.467076135,0.001,0,1
Prdm2,0.012055834,0.527,0.546,1
Prdm4,0.020198083,0.088,0.092,1
Prdm5,-0.2266456,0.049,0.063,1
Prdm6,-0.969374981,0.004,0.005,1
Prdm8,0.085123462,0.171,0.172,1
Prdm9,0.020588199,0.048,0.053,1
Prdx1,0.239806815,0.174,0.156,1
Prdx2,-0.171169741,0.356,0.4,1
Prdx3,0.113676472,0.109,0.105,1
Prdx4,0.05468752,0.174,0.179,1
Prdx5,-0.117373247,0.365,0.41,1
Prdx6,-0.173287825,0.384,0.421,1
Prdx6b,-2.481062604,0,0.002,1
Preb,-0.134155005,0.658,0.706,1
Prelid1,0.057364724,0.118,0.127,1
Prelid2,-0.419861035,0.002,0.003,1
Prelid3a,-0.077915875,0.835,0.876,1
Prelid3b,-0.156120239,0.04,0.045,1
Prelp,-6.345124912,0,0.003,1
Prep,0.234684772,0.207,0.195,1
Prepl,-0.01114387,0.788,0.808,1
Prex1,0.153110888,0.372,0.342,1
Prex2,-0.237611007,0.258,0.316,0.136674214
Prf1,0.211255122,0.001,0,1
Prg2,0,0,0,1
Prg3,0,0,0,1
Prg4,-0.88399714,0.007,0.013,1
Prh1,0,0,0,1
