X,avg_log2FC,pct.1,pct.2,p_val_adj
Cdc6,1.158937787,0.01,0.007,1
Topaz1,1.494301475,0.001,0.001,1
Amigo3,0.336654011,0.002,0.003,1
Tmigd1,1.18368039,0.001,0.001,1
Ifit3b,0.280830198,0.02,0.019,1
Slc35d2,2.270621563,0.023,0.004,0.403619505
Smpx,-2.342260906,0.004,0.03,0.357687519
Cdc45,-0.376546621,0.007,0.013,1
Vpreb1,-1.368864859,0.001,0.006,1
Unkl,0.38122894,0.375,0.35,1
Tex11,0.263400548,0.012,0.009,1
Trim71,1.926587407,0.017,0.004,1
Nos2,0,0,0,1
Ly6e,0.652339238,0.416,0.338,0.027324921
Sspnos,-0.428179934,0.006,0.007,1
Akr1d1,1.147630635,0.007,0.005,1
Cysrt1,0.063349422,0.001,0.001,1
Plxnb3,-0.153595327,0,0.001,1
Slc49a4,1.090412219,0.633,0.451,2.00231E-28
Ebf3,2.135022611,0.004,0.001,1
Magix,0.344083911,0.002,0.001,1
Bex6,0,0,0,1
Esyt3,-0.451970592,0.035,0.059,1
Ccdc112,0.573577633,0.275,0.229,1
Fscn2,-0.1173845,0.007,0.011,1
Fgl1,0.225847848,0.002,0.002,1
Bicra,0.729238077,0.482,0.406,0.000229122
Prmt3,0.755504174,0.493,0.374,1.47352E-08
Prm1,0.921289788,0.006,0.002,1
Fgd2,0.975216114,0.001,0.001,1
Selenop,-0.281914893,0.002,0.002,1
Kctd19,1.751442768,0.007,0.002,1
Ccdc183,-1.449449259,0.011,0.027,1
Adcyap1,1.067140753,0.261,0.187,0.013527954
Akt1s1,0.606956498,0.134,0.1,1
Npsr1,-2.573334326,0.019,0.05,1
Cartpt,0.316214867,0.004,0.003,1
Nfic,0.346868758,0.46,0.432,1
Morc1,-0.407749676,0.007,0.01,1
Nudt15,0.359587224,0.016,0.011,1
Tfap2d,-0.875371111,0.005,0.013,1
Pdk4,1.530185515,0.004,0.001,1
Tex22,-1.054140596,0.048,0.098,0.682308477
Rassf9,0.20552199,0,0.001,1
Pdyn,0.937233642,0.001,0.001,1
Atp7b,0.202456135,0.046,0.054,1
Krt24,-1.079764251,0.04,0.101,0.004872367
Cep85l,0.901802885,0.711,0.598,1.68402E-23
Nr1i3,-0.480430731,0.039,0.054,1
Traf2,0.709562645,0.081,0.055,1
Tnfaip3,-0.498038136,0.02,0.035,1
Kif20a,-0.81504925,0.027,0.049,1
Ifngas1,-0.903567281,0,0.003,1
Olfml2b,1.07649824,0.236,0.139,4.07262E-05
Plxna4os2,-0.747847581,0.052,0.086,1
Ddias,2.238547204,0.023,0.006,1
Smco4,1.233799788,0.007,0.002,1
Spock2,1.158387321,0.851,0.698,1.14782E-62
Clspn,1.88202179,0.006,0.003,1
Fbln7,-1.552697864,0.005,0.023,1
Lrrc19,-0.634691244,0.222,0.333,0.000253907
