X,SCI,IC
Kcnn2,-0.255340276,-1.600052683
Pcdh19,-0.076509198,-1.594529789
Nrn1,0.118629625,-1.594514199
Cntn5,-0.002549753,-1.588597363
Cckbr,-0.215575208,-1.583993145
Lrrc23,-0.256874171,-1.58358091
Mcf2,-0.10517162,-1.582503974
Ankrd9,0.083673057,-1.577820918
Tmem74,-0.256711966,-1.567392627
Mlip,-0.110907781,-1.565315238
Gramd2,0.013610651,-1.565306096
Shc3,0.341738039,-1.564163457
Nr4a3,0.281504489,-1.560551138
Tmem14a,-0.21758755,-1.549551074
Cry1,-0.050044403,-1.544784215
Grm5,-0.046817604,-1.53134746
AB041806,-0.209017308,-1.531011316
Tll1,-0.218341728,-1.522757502
B3gat2,-0.691597775,-1.516473185
Trpc5,-0.591959205,-1.51429238
Slc7a2,-0.105002625,-1.502565403
Kcna4,-0.229399507,-1.498948836
Pde7b,1.148561455,-1.496368522
Bcl2,0.215125765,-1.495884211
Muc15,-0.301729977,-1.495589319
Rap2b,-0.32840257,-1.493735778
Plpp6,0.152693065,-1.492510685
Gpc4,-0.188849414,-1.492463834
Slain1,-0.080918879,-1.490118587
Ephb3,0.112508157,-1.479467767
Lypd1,-0.185923193,-1.479195285
Spry2,-0.031341976,-1.472746931
Nkain2,0.012249477,-1.469281301
Caly,-0.013380581,-1.465493834
Cdh24,-0.123294795,-1.462270512
Prss35,-0.991332724,-1.461164359
Klhl34,-0.344832129,-1.460976882
Nyap2,-0.317607804,-1.458979207
Ptprr,-0.056395421,-1.452616618
Thnsl1,-0.078377686,-1.449559896
Fam98c,-0.039835691,-1.440581341
Pzp,0.140991898,-1.438083655
Macrod2os2,-0.016111545,-1.433785843
Grb14,1.152175794,-1.43034145
Cyp11a1,-0.131482505,-1.429728125
Kcnq5,-0.150840617,-1.427325861
Cmpk2,-0.31596095,-1.425083937
Mir124-2hg,-0.027987589,-1.42327825
Orc6,-0.191784867,-1.422521538
P2ry12,-0.091844275,-1.422450529
Tmc2,-0.160682355,-1.421617008
Mn1,0.130678853,-1.420071843
Rhobtb2,0.057251462,-1.419160346
Ndst4,-0.141480619,-1.417861717
Rsad1,-0.277100712,-1.412561602
Tafa1,-0.04744963,-1.407423713
Cdc25b,-0.20591474,-1.406367887
Cdh6,0.018541135,-1.404915048
Rfx4,-0.09735617,-1.402540123
Pcsk2os2,-0.430334363,-1.401690613
Nap1l5,0.064305291,-1.399000218
Brinp3,0.012302357,-1.396423813
Rbm24,0.312477465,-1.396371311
Zfp536,-0.358865323,-1.393971782
Far1os,-0.094682184,-1.392689816
Lix1,-0.772015314,-1.390880609
Kcng1,0.068715352,-1.387750413
Raver2,0.017425882,-1.385582326
Nell1,-0.428283637,-1.384861323
Slc2a2,-0.066351983,-1.383216367
Clnk,-0.130890183,-1.382477583
Atcayos,-0.143148468,-1.376592244
Dmgdh,-0.181806396,-1.373400715
Pard6a,-0.122225506,-1.371116251
Galnt12,0.099509927,-1.368814015
Vmn2r57,-0.183561583,-1.368321775
Gal3st3,0.054536626,-1.366542383
Adcy10,-0.17467972,-1.364449647
Hck,-0.185113509,-1.363135964
Zkscan16,-0.2261694,-1.358356326
Cdh11,-0.360533612,-1.35824883
Macrod2os1,-0.132661103,-1.357960538
Irs1,0.138895896,-1.356205771
Fgf13,-0.075398853,-1.354133979
Amn,-0.25740184,-1.353413545
Tenm1,-0.010779096,-1.351825775
St3gal6,-0.518868824,-1.350994645
Epha7,-0.123101675,-1.341502564
Cenpu,0.031995692,-1.331745884
Nwd2,-0.488292434,-1.331383118
Hs6st2,0.054708635,-1.328677938
Nfia,-0.061579201,-1.327039749
Hist3h2ba,0.027134123,-1.324422716
Ankrd34b,-0.074158924,-1.324339543
Pigz,0.007548996,-1.317711437
Prrt3,0.072410311,-1.317257447
Pycr2,0.039927528,-1.316733753
Dpp10,-0.177227394,-1.315279629
Gria2,-0.19391758,-1.313396104
