X,avg_log2FC,pct.1,pct.2,p_val_adj
Mocs3,-0.71625394,0.025,0.05,0.00033191
Mog,0.100759516,0.015,0.014,1
Mogat1,-1.186041655,0.008,0.019,1
Mogat2,-0.975554978,0,0.001,1
Mogs,-0.593653853,0.06,0.078,1
Mok,0.095862152,0.444,0.463,1
Mon1a,-0.075955267,0.192,0.243,0.235756669
Mon1b,-0.187370399,0.024,0.031,1
Mon2,-0.01833461,0.71,0.736,1
Morc1,-0.823037661,0.007,0.007,1
Morc2a,-0.102822419,0.493,0.555,1
Morc2b,-0.012863832,0.599,0.645,1
Morc3,-0.037505778,0.356,0.391,1
Morc4,-0.126345628,0.107,0.132,1
Morf4l1,0.05194729,0.704,0.725,1
Morf4l2,-0.156849119,0.416,0.463,1
Morn1,0.255622922,0.476,0.445,0.289313814
Morn2,-0.156753497,0.298,0.355,0.377501802
Morn3,0.460123018,0.025,0.02,1
Morn4,0.131085942,0.08,0.084,1
Morn5,-0.042168514,0.01,0.01,1
Morrbid,-0.730248042,0.034,0.056,0.160326075
Mos,0,0,0,1
Mosmo,0.019598662,0.524,0.551,1
Mospd1,0.362463985,0.128,0.12,1
Mospd2,-0.187918073,0.334,0.382,1
Mospd3,-0.414873543,0.048,0.068,1
Mov10,0.004937678,0.301,0.32,1
Mov10l1,0.294672861,0.037,0.034,1
Moxd1,1.034545968,0.006,0.005,1
Moxd2,0,0,0,1
Mpc1,-0.055836868,0.78,0.826,1
Mpc2,-0.122371057,0.505,0.571,1
Mpdu1,-0.478424641,0.09,0.141,0.000000312
Mpdz,-0.111794266,0.795,0.835,1
Mpeg1,-0.079715411,0.002,0.002,1
Mpg,0.432073545,0.141,0.131,1
Mphosph10,-0.230003199,0.157,0.203,0.063186126
Mphosph6,-0.141711679,0.114,0.144,1
Mphosph8,0.034389304,0.665,0.679,1
Mphosph9,0.082563057,0.714,0.735,1
Mpi,-0.365049432,0.162,0.202,0.331585644
Mpig6b,0,0,0,1
Mpl,-1.170299691,0.008,0.017,1
Mplkip,-0.020801322,0.223,0.253,1
Mpnd,-0.424664275,0.196,0.264,0.00000124
Mpo,0,0,0,1
Mpp1,0.069331571,0.114,0.116,1
Mpp2,0.078934772,0.365,0.382,1
Mpp3,-0.212109991,0.461,0.533,0.014930858
Mpp4,-0.083798727,0.048,0.052,1
Mpp5,0.074250874,0.405,0.434,1
Mpp6,-0.281120957,0.871,0.909,3.78E-28
Mpp7,-0.528541123,0.103,0.166,8.56E-10
Mppe1,-0.112934186,0.149,0.162,1
Mpped1,0.144990031,0.822,0.827,0.00000778
Mpped2,0.062685461,0.889,0.906,1
Mprip,0.085288181,0.905,0.908,1
Mpst,-0.652903118,0.014,0.023,1
Mptx1,0,0,0,1
Mptx2,0.932324967,0.001,0,1
Mpv17,-0.060753864,0.173,0.198,1
Mpv17l,0.117326278,0.454,0.473,1
Mpv17l2,-0.70514524,0.036,0.065,0.000414249
Mpz,-0.135121442,0.001,0.001,1
Mpzl1,0.063992309,0.293,0.317,1
Mpzl2,0.181274954,0.004,0.003,1
Mpzl3,-0.536862875,0.056,0.084,0.097100846
Mr1,-0.097428277,0.009,0.009,1
Mrap,0.796180861,0.003,0.005,1
Mrap2,0.402978601,0.204,0.182,1
Mras,0.180567966,0.576,0.579,1
Mrc1,-0.629824143,0.011,0.012,1
Mrc2,-0.240627237,0.096,0.114,1
Mre11a,0.047875463,0.142,0.147,1
Mreg,-0.312871094,0.043,0.059,1
Mrfap1,-0.348211613,0.137,0.179,0.041196092
Mrgbp,-0.624131585,0.141,0.211,7.77E-11
Mrgpra1,-0.388292101,0.001,0.002,1
Mrgpra2a,0.011492723,0.001,0.001,1
Mrgpra2b,0.169675866,0.003,0.003,1
Mrgpra3,0,0,0,1
Mrgpra4,0,0,0,1
Mrgpra6,-0.025734122,0.011,0.014,1
Mrgpra9,1.539806761,0.004,0.001,1
Mrgprb1,0,0,0,1
Mrgprb13,0,0,0,1
Mrgprb2,0,0,0,1
Mrgprb3,0,0,0,1
Mrgprb4,0,0,0,1
Mrgprb5,0,0,0,1
Mrgprb8,0,0,0,1
Mrgprd,0,0,0,1
Mrgpre,-0.705044122,0.005,0.009,1
Mrgprf,0,0,0,1
Mrgprg,0,0,0,1
Mrgprh,0,0,0,1
Mrgprx1,-0.531103367,0.005,0.007,1
Mrgprx2,-1.007601201,0,0.001,1
Mri1,-0.086102525,0.237,0.285,1
Mrln,0.407726762,0.029,0.03,1
Mrm1,-0.312127526,0.088,0.126,0.022842604
Mrm2,-0.103694645,0.06,0.077,1
Mrm3,-0.057463591,0.204,0.244,1
Mrnip,0.107156802,0.178,0.176,1
Mro,-0.11553222,0.005,0.008,1
Mroh1,-0.083857112,0.616,0.65,1
Mroh2a,-0.506508227,0.004,0.006,1
Mroh2b,0.222323011,0.002,0.003,1
