X,avg_log2FC,pct.1,pct.2,p_val_adj
Chil1,1.01739746,0.009,0.005,1
Chil3,0,0,0,1
Chil4,0,0,0,1
Chil5,-0.07053058,0.007,0.003,1
Chil6,0,0,0,1
Chit1,0.715461335,0.002,0,1
Chka,0.212521159,0.804,0.778,1
Chkb,-0.240183559,0.192,0.222,1
Chl1,-0.317256972,0.637,0.699,1
Chm,0.008820081,0.718,0.689,1
Chml,-1.51324479,0.043,0.082,1
Chmp1a,0.315448744,0.129,0.106,1
Chmp1b,-0.079576578,0.072,0.066,1
Chmp2a,0.105720276,0.176,0.161,1
Chmp2b,0.277755747,0.102,0.092,1
Chmp3,0.130640219,0.361,0.332,1
Chmp4b,-0.08412789,0.391,0.372,1
Chmp4c,1.420866479,0.086,0.026,1
Chmp5,-0.033285562,0.187,0.185,1
Chmp6,-1.457738984,0.038,0.061,1
Chmp7,-0.45573177,0.099,0.103,1
Chn1,-0.129445544,0.747,0.77,1
Chn1os1,-1.496898778,0.005,0.021,1
Chn1os3,0.848724968,0.038,0.024,1
Chn2,0.265607507,0.503,0.443,1
Chodl,0.414129639,0.002,0,1
Chordc1,0.005237531,0.418,0.417,1
Chp1,0.025161762,0.54,0.525,1
Chp2,0,0,0,1
Chpf,-0.24174193,0.054,0.066,1
Chpf2,-0.492068577,0.357,0.422,1
Chpt1,-0.009350619,0.623,0.604,1
Chrac1,0.467914327,0.074,0.058,1
Chrd,-0.220827239,0.131,0.135,1
Chrdl1,0.578652547,0.002,0.003,1
Chrdl2,0,0,0,1
Chrm1,-0.063801822,0.029,0.037,1
Chrm2,0.220105957,0.691,0.62,1
Chrm3,-0.099927943,0.23,0.33,1
Chrm4,0,0,0,1
Chrm5,0,0,0,1
Chrna1,0.694038514,0.007,0.003,1
Chrna10,0,0,0,1
Chrna1os,-0.672956921,0.009,0.011,1
Chrna2,0,0,0,1
Chrna3,-2.5066232,0,0.013,1
Chrna4,-0.719991793,0.072,0.087,1
Chrna5,-1.699997177,0,0.005,1
Chrna6,0.994512459,0.007,0,1
Chrna7,0.625971358,0.585,0.443,0.060564669
Chrna9,-1.619241348,0.002,0.008,1
Chrnb1,1.228805691,0.047,0.018,1
Chrnb2,0.550015152,0.122,0.079,1
Chrnb3,0,0,0,1
Chrnb4,0.406485498,0.005,0.005,1
Chrnd,0,0,0,1
Chrne,0,0,0,1
Chrng,0.189894468,0.007,0.008,1
Chst1,-0.552695177,0.111,0.121,1
Chst10,0.572018932,0.287,0.232,1
Chst11,0.152707668,0.305,0.285,1
Chst12,-0.299208385,0.135,0.153,1
Chst13,0,0,0,1
Chst14,1.843620915,0.007,0,1
Chst15,-0.41719806,0.029,0.05,1
Chst2,-0.476195821,0.081,0.092,1
Chst3,0,0,0,1
Chst4,-1.227495204,0,0.003,1
Chst5,0.389217688,0.005,0.003,1
Chst7,0.889174797,0.02,0.008,1
Chst8,0.355920608,0.436,0.38,1
Chst9,0.119130718,0.409,0.369,1
Chsy1,0.486086298,0.187,0.166,1
Chsy3,-0.003971161,0.497,0.525,1
Chtf18,-1.408358221,0.002,0.016,1
Chtf8,-1.091995651,0,0.003,1
Chtop,-0.241875554,0.124,0.14,1
Chuk,-0.205965057,0.481,0.515,1
Churc1,-0.227154807,0.135,0.119,1
Ciao1,-0.313037223,0.102,0.108,1
Ciao2a,0.095589649,0.09,0.069,1
Ciao2b,-0.653678413,0.056,0.092,1
Ciao3,-0.61408988,0.205,0.269,1
Ciapin1,-0.098384494,0.305,0.338,1
Ciart,-0.326622932,0.093,0.103,1
Cib1,1.291657558,0.025,0.016,1
Cib2,-0.659778098,0.084,0.121,1
Cib3,0,0,0,1
Cib4,-2.129871361,0,0.005,1
Cic,-0.218643553,0.21,0.24,1
Cidea,0.106420704,0.025,0.034,1
Cideb,0,0,0,1
Cidec,0.414129639,0.002,0,1
Ciita,0.809839736,0.07,0.055,1
Cilp,0.163251509,0.002,0.003,1
Cilp2,0.150315416,0.002,0,1
Cinp,0.609565161,0.147,0.106,1
Cip2a,1.693360478,0.014,0.003,1
Cipc,0.122337736,0.391,0.391,1
Cir1,0.106816114,0.28,0.261,1
Cirbp,-0.801055174,0.271,0.367,1
Cisd1,-0.129171155,0.239,0.23,1
Cisd2,0.149324956,0.431,0.396,1
Cisd3,-0.861733875,0.104,0.187,1
Cish,0.018390985,0.014,0.013,1
Cit,0.274551942,0.946,0.894,1
Cited1,-0.540777648,0,0.003,1
Cited2,0.668780924,0.081,0.061,1
Cited4,-0.944984262,0,0.003,1
Ciz1,0.27412657,0.305,0.285,1
Ckap2,0.302887459,0.005,0.003,1
Ckap2l,-0.017552335,0.002,0.003,1
Ckap4,0.604265162,0.043,0.026,1
Ckap5,0.030176632,0.693,0.649,1
Ckb,-0.517569253,0.625,0.734,0.300895535
Cklf,0.392667768,0.095,0.074,1
Ckm,-0.086760914,0.005,0.005,1
Ckmt1,-0.439001278,0.476,0.509,1
Ckmt2,0.922855508,0.102,0.063,1
Cks1b,-0.96371471,0.005,0.005,1
Cks1brt,-2.433997007,0,0.003,1
Cks2,-2.900763728,0.002,0.011,1
Clasp1,0.180034264,0.869,0.826,1
Clasp2,0.005114605,0.932,0.931,1
Clasrp,-0.402231812,0.497,0.541,1
Clba1,1.226754078,0.011,0.003,1
Clca1,0,0,0,1
Clca2,0,0,0,1
