X,avg_log2FC,pct.1,pct.2,p_val_adj
Saxo2,-0.166023998,0.056,0.066,1
Saysd1,-0.132939391,0.164,0.199,0.097751859
Sbds,-0.07977162,0.317,0.364,0.088942599
Sbf1,0.263434751,0.393,0.358,0.00000588
Sbf2,0.004816678,0.878,0.896,1
Sbk1,0.00367411,0.221,0.233,1
Sbk2,-0.367175254,0.008,0.008,1
Sbk3,-0.153012882,0.007,0.009,1
Sbno1,-0.028493625,0.743,0.769,1
Sbno2,-0.089035016,0.229,0.262,1
Sbp,0,0,0,1
Sbpl,0,0,0,1
Sbsn,-0.481807112,0.03,0.046,0.053744733
Sbspon,0.747555428,0.04,0.027,0.050967237
Sc5d,-0.032388716,0.365,0.388,1
Scaf1,-0.220298978,0.354,0.426,1.65E-12
Scaf11,0.005679564,0.372,0.38,1
Scaf4,0.073078062,0.527,0.527,1
Scaf8,0.050725138,0.798,0.801,1
Scai,-0.139199723,0.867,0.876,5.54E-11
Scamp1,0.006913649,0.549,0.573,1
Scamp2,-0.061744158,0.17,0.179,1
Scamp3,-0.350375094,0.093,0.129,0.00000128
Scamp4,0.312065907,0.002,0.002,1
Scamp5,0.120963929,0.501,0.504,1
Scand1,-0.540323863,0.121,0.177,6.5E-16
Scap,-0.004675205,0.27,0.286,1
Scaper,0.009201183,0.787,0.815,1
Scara3,0.042359993,0.02,0.022,1
Scara5,0.173769028,0.017,0.016,1
Scarb1,-0.022240005,0.341,0.366,1
Scarb2,-0.027747359,0.417,0.447,1
Scarf1,0.317588187,0.021,0.019,1
Scarf2,0.968124958,0.002,0.001,1
Sccpdh,-0.153420323,0.177,0.226,0.000000926
Scd1,-0.179725276,0.029,0.037,1
Scd2,-0.115264944,0.413,0.456,0.246930107
Scd3,-0.736738192,0.04,0.065,5.12E-08
Scd4,-0.060796285,0.016,0.02,1
Scel,0.081800933,0.11,0.121,1
Scfd1,0.104550185,0.576,0.563,1
Scfd2,0.11500157,0.611,0.609,1
Scg2,0.179114158,0.382,0.366,1
Scg3,-0.099762482,0.364,0.403,1
Scg5,0.085010586,0.809,0.8,0.011509068
Scgb1a1,0,0,0,1
Scgb1b10,0,0,0,1
Scgb1b12,0,0,0,1
Scgb1b19,0,0,0,1
Scgb1b2,0,0,0,1
Scgb1b20,0,0,0,1
Scgb1b24,0,0,0,1
Scgb1b27,0,0,0,1
Scgb1b29,0,0,0,1
Scgb1b3,0,0,0,1
Scgb1b30,0,0,0,1
Scgb1b7,0,0,0,1
Scgb1c1,0,0,0,1
Scgb2a2,0,0,0,1
Scgb2b10,0,0,0,1
Scgb2b11,0,0,0,1
Scgb2b12,0,0,0,1
Scgb2b15,0,0,0,1
Scgb2b17,0,0,0,1
Scgb2b18,0,0,0,1
Scgb2b19,0,0,0,1
Scgb2b2,0,0,0,1
Scgb2b20,0,0,0,1
Scgb2b21,0,0,0,1
Scgb2b24,0,0,0,1
Scgb2b26,0,0,0,1
Scgb2b27,0,0,0,1
Scgb2b3,0,0,0,1
Scgb2b6,0,0,0,1
Scgb2b7,0,0,0,1
Scgb3a1,0,0,0,1
Scgb3a2,0,0,0,1
Scgn,-1.297909936,0.003,0.007,1
Schip1,0.184428592,0.961,0.965,3.46E-09
Scimp,-0.281545639,0.003,0.005,1
Scin,-0.52276225,0.002,0.002,1
Sclt1,-0.032253683,0.907,0.908,1
Scly,-0.072606031,0.162,0.175,1
Scmh1,0.021003348,0.825,0.832,1
Scml2,0.098686045,0.012,0.013,1
Scml4,-0.12703102,0.152,0.166,1
Scn10a,0.971542399,0.001,0.001,1
Scn11a,-0.147403739,0.003,0.005,1
Scn1a,-0.083679135,0.918,0.923,0.000102293
Scn1b,-0.028841142,0.528,0.542,1
Scn2a,0.163967983,0.903,0.893,8.71E-20
Scn2b,-0.094746268,0.18,0.212,0.55190006
Scn3a,-0.060605185,0.507,0.542,1
Scn3b,0.142687073,0.186,0.182,1
Scn4a,1.288734992,0.001,0,1
