X,avg_log2FC,pct.1,pct.2,p_val_adj
Txn1,-0.389232067,0.125,0.125,1
Txn2,-0.764613608,0.096,0.147,1
Txndc11,0.157857107,0.479,0.452,1
Txndc12,0.233805425,0.186,0.154,1
Txndc15,-0.14526998,0.283,0.272,1
Txndc16,-0.235215938,0.305,0.305,1
Txndc17,-0.431129783,0.148,0.176,1
Txndc2,0,0,0,1
Txndc5,-0.723461761,0.087,0.114,1
Txndc8,0,0,0,1
Txndc9,0.419672307,0.273,0.224,1
Txnip,0,0,0,1
Txnl1,0.029445568,0.331,0.283,1
Txnl4a,-0.690591357,0.048,0.059,1
Txnl4b,-0.457299199,0.01,0.007,1
Txnrd1,0.344419598,0.373,0.279,1
Txnrd2,-0.824084954,0.09,0.129,1
Txnrd3,0.211553018,0.045,0.04,1
Tyk2,-0.452841266,0.167,0.191,1
Tymp,0,0,0,1
Tyms,0.595875437,0.045,0.048,1
Tyr,-0.30652019,0.003,0.004,1
Tyro3,-0.510484814,0.055,0.085,1
Tyrobp,-1.315206716,0,0.004,1
Tyrp1,0,0,0,1
Tysnd1,0.298232824,0.055,0.033,1
Tyw1,-0.049138798,0.241,0.243,1
Tyw3,-0.078751372,0.045,0.037,1
Tyw5,-0.846091102,0.17,0.246,1
U2af1,0.297193822,0.283,0.254,1
U2af1l4,-0.78093724,0.055,0.088,1
U2af2,-0.004618145,0.257,0.25,1
U2surp,-0.127384724,0.682,0.651,1
U90926,1.45512411,0.003,0,1
Uaca,0.363570798,0.042,0.037,1
Uap1,-0.279567067,0.071,0.077,1
Uap1l1,-0.10934786,0.035,0.022,1
Uba1,0.221166426,0.244,0.21,1
Uba1y,0,0,0,1
Uba2,0.168437081,0.35,0.298,1
Uba3,0.008955035,0.235,0.224,1
Uba5,0.195725752,0.379,0.379,1
Uba52,-0.299979515,0.296,0.349,1
Uba6,-0.097980494,0.579,0.537,1
Uba7,0,0,0,1
Ubac1,0.200655173,0.203,0.173,1
Ubac2,0.096240297,0.489,0.434,1
Ubald1,-0.039943847,0.074,0.055,1
Ubald2,-0.191172188,0.061,0.044,1
Ubap1,0.265130014,0.347,0.243,1
Ubap1l,0.086723282,0.331,0.294,1
Ubap2,0.221602659,0.55,0.46,1
Ubap2l,0.15967346,0.605,0.537,1
Ubash3a,-1.437291732,0.026,0.062,1
Ubash3b,-0.196843384,0.322,0.346,1
Ubb,-0.356621807,0.611,0.651,1
Ubc,-0.587927895,0.174,0.25,1
Ubd,0,0,0,1
Ube2a,0.204191689,0.09,0.077,1
Ube2b,0.07806917,0.82,0.732,1
Ube2c,-0.784903265,0.003,0.004,1
Ube2cbp,-0.602493833,0.084,0.107,1
Ube2d1,-0.207418996,0.318,0.32,1
Ube2d2a,-0.148244275,0.572,0.596,1
Ube2d2b,0,0,0,1
Ube2d3,-0.179202927,0.482,0.504,1
Ube2dnl1,0,0,0,1
Ube2dnl2,0,0,0,1
Ube2e1,0.227156223,0.347,0.298,1
Ube2e2,0.089057971,0.92,0.919,1
Ube2e3,-0.05454851,0.341,0.338,1
Ube2f,0.219183344,0.341,0.294,1
Ube2g1,0.006698178,0.553,0.518,1
Ube2g2,0.10923995,0.125,0.107,1
Ube2h,0.083529094,0.74,0.654,1
Ube2i,0.665376791,0.325,0.239,1
Ube2j1,0.068128608,0.463,0.426,1
Ube2j2,-0.443424076,0.254,0.309,1
Ube2k,-0.070951876,0.675,0.68,1
Ube2l3,0.065358574,0.418,0.401,1
Ube2l6,1.082095238,0.01,0.004,1
Ube2m,-0.170032343,0.27,0.279,1
Ube2n,0.09586353,0.331,0.342,1
Ube2o,0.135222771,0.45,0.401,1
Ube2q1,-0.15298265,0.1,0.114,1
Ube2q2,0.102751401,0.405,0.371,1
Ube2ql1,0.497138514,0.215,0.162,1
Ube2r2,0.17768866,0.563,0.511,1
Ube2s,-0.548214171,0.228,0.29,1
Ube2t,-0.002229959,0.01,0.011,1
Ube2u,-2.71543184,0,0.007,1
Ube2uos,0,0,0,1
