X,avg_log2FC,pct.1,pct.2,p_val_adj
Frem2,3.585531594,0.028,0.003,3.8079E-07
Frem3,0.731537104,0.016,0.008,1
Frg1,-0.51770813,0.376,0.421,1
Frg2f1,-0.03995831,0.047,0.036,1
Frk,-0.999761368,0,0.005,1
Frmd3,0.536257011,0.546,0.433,0.000125186
Frmd4a,-0.068855407,0.984,0.999,0.00642042
Frmd4b,0.328633816,0.498,0.413,1
Frmd5,0.513949054,0.996,0.982,2.11446E-47
Frmd6,0.463897163,0.714,0.587,1.66112E-07
Frmd7,-0.172495422,0.003,0.005,1
Frmd8,0.918148322,0.123,0.053,4.28418E-06
Frmd8os,-1.409257838,0.001,0.006,1
Frmpd1,-0.442326564,0.074,0.114,1
Frmpd1os,-1.021563199,0.001,0.006,1
Frmpd2,1.324790913,0.057,0.018,0.000484374
Frmpd3,-0.222234186,0.443,0.494,1
Frmpd4,-0.558894478,0.965,0.997,1.36668E-69
Frrs1,1.894483507,0.071,0.018,2.47654E-09
Frrs1l,-0.500697341,0.359,0.421,0.190511919
Frs2,0.47692685,0.7,0.558,2.74997E-10
Frs3,0.464208503,0.037,0.02,1
Frs3os,2.687760433,0.003,0,1
Fry,0.005757326,0.965,0.971,1
Fryl,0.094649084,0.758,0.696,1
Frzb,0.287184455,0.008,0.005,1
Fsbp,-0.063893739,0.001,0.003,1
Fscb,0,0,0,1
Fscn1,0.117898678,0.33,0.245,1
Fscn2,-0.986341579,0.01,0.012,1
Fscn3,1.084128112,0.003,0.002,1
Fsd1,0.048131125,0.379,0.315,1
Fsd1l,-0.032290644,0.58,0.54,1
Fsd2,-0.840043585,0.017,0.021,1
Fshb,0,0,0,1
Fshr,-0.484717733,0.013,0.014,1
Fsip1,0.176486673,0.065,0.041,1
Fsip2,-0.397480264,0.003,0.004,1
Fst,0,0,0,1
Fstl1,0.738893523,0.31,0.185,8.46315E-08
Fstl3,-0.912709454,0.016,0.035,1
Fstl4,0.452168976,0.535,0.483,1
Fstl5,-0.026542003,0.687,0.67,1
Ftcd,-0.512184449,0.004,0.005,1
Fth1,-0.463183697,0.188,0.243,1
Fthl17a,1.114208155,0.003,0.002,1
Fthl17b,0,0,0,1
Fthl17c,0,0,0,1
Fthl17d,0,0,0,1
Fthl17e,0,0,0,1
Fthl17f,0,0,0,1
Ftl1,1.137288946,0.116,0.046,1.79006E-07
Ftl1-ps1,2.305611133,0.279,0.054,1.25522E-64
Ftmt,0,0,0,1
Fto,0.396588101,0.931,0.855,6.29547E-19
Ftsj1,0.522299678,0.221,0.133,0.001635675
Ftsj3,0.716802888,0.107,0.052,0.003043414
Ftx,0.343873378,0.847,0.776,5.81157E-05
Fubp1,0.011328857,0.863,0.843,1
Fubp3,0.532179659,0.498,0.348,1.21052E-06
Fuca1,-0.046038206,0.15,0.11,1
Fuca2,0.301127957,0.147,0.106,1
Fundc1,0.782246808,0.154,0.07,3.04857E-07
Fundc2,0.464923111,0.074,0.041,1
Fuom,-0.538463184,0.1,0.098,1
Furin,1.015813917,0.171,0.073,9.32153E-11
Fus,0.19352933,0.939,0.884,0.001160174
Fut1,1.263084638,0.01,0.003,1
Fut10,0.619624979,0.103,0.073,1
Fut11,0.007230833,0.129,0.102,1
Fut2,-1.734970316,0.03,0.066,1
Fut4,0,0,0,1
Fut7,1.360084156,0.006,0.003,1
Fut8,-0.252504465,0.754,0.787,0.002604894
Fut9,-0.264961973,0.866,0.897,1.56307E-06
Fuz,-1.12422099,0.027,0.063,1
Fv1,0.229555529,0.008,0.008,1
Fxn,-0.079982388,0.136,0.098,1
Fxr1,-0.133456368,0.764,0.728,1
