X,avg_log2FC,pct.1,pct.2,p_val_adj
Ikzf1,8.694089179,0.013,0,9.01298E-05
Fgd2,7.70301728,0.008,0,0.121586703
Rsad2,7.701141412,0.033,0,4.08762E-17
Zfp36l1,7.364616183,0.013,0,9.01298E-05
Trim34a,7.262282835,0.07,0.001,5.57729E-35
Cfh,7.028607033,0.008,0,0.121586703
Slco2b1,6.850853644,0.01,0,0.131570945
Siglech,6.815730873,0.01,0.001,1
Prr32,6.722938214,0.033,0.001,9.77684E-14
Ifi44,6.569994972,0.123,0.004,1.79549E-54
Ecel1,6.475976937,0.148,0.006,1.46856E-64
Irf8,6.455801578,0.01,0,0.131570945
Gulp1,6.399897323,0.103,0.005,2.05475E-40
Gbp7,6.284345079,0.058,0.001,6.76675E-29
Phf11d,6.244935525,0.136,0.004,1.65356E-64
Cysltr1,6.12914202,0.013,0,0.004114037
Skint7,6.088088614,0.131,0.004,4.09686E-60
Itgam,6.068367741,0.013,0,0.004114037
Nox4,5.979054904,0.121,0.007,2.75923E-46
Usp18,5.960260753,0.04,0.004,8.15456E-10
Rnase4,5.953395628,0.005,0,1
Ackr3,5.91896157,0.028,0.001,1.00035E-10
Xlr4a,5.892082732,0.01,0,0.003267162
Zfhx4,5.87469134,0.005,0.001,1
Tuba8,5.874415929,0.008,0,0.121586703
Oasl2,5.869579955,0.04,0.002,2.9421E-13
Ddx60,5.828277414,0.186,0.007,2.10365E-83
Col5a3,5.809804166,0.015,0,0.000126108
Bnc2,5.780558074,0.003,0.002,1
Htr2c,5.730290894,0.671,0.13,2.3692E-179
Cyb5r2,5.698641099,0.025,0.001,6.52572E-07
Sh2d6,5.649892012,0.312,0.018,1.1371E-125
Tnfrsf1b,5.621178777,0.013,0.001,0.063857229
Irf7,5.608736702,0.043,0.003,1.00588E-12
Trim30a,5.575397479,0.128,0.008,1.1016E-46
Ltc4s,5.519698346,0.005,0,1
Mertk,5.488778744,0.015,0.005,1
Bcl2l11,5.476917494,0.178,0.008,2.06844E-76
Hk2,5.470348867,0.01,0.002,1
Sprr1a,5.360990671,0.038,0.004,2.87161E-07
Vav1,5.316760815,0.005,0,1
Olfm4,5.30960327,0.043,0.003,1.19785E-13
Trim12c,5.294300833,0.023,0.001,1.56417E-06
Trim30d,5.272740621,0.068,0.004,1.35936E-23
Tlr11,5.201621189,0.008,0,0.121586703
Nlrp1b,5.176339642,0.003,0.001,1
Prss56,5.176184103,0.01,0,0.132641901
Eva1a,5.143020254,0.003,0,1
Arhgap45,5.113438096,0.013,0.001,1
Adap2,5.084953398,0.01,0.001,1
Bmp5,5.079897789,0.005,0.001,1
Rbm47,5.045731241,0.015,0.002,0.625855662
Krt75,5.038536709,0.02,0,1.17397E-07
Isg20,5.036635535,0.015,0.001,0.002360522
Selplg,5.006899192,0.01,0.002,1
Rhoh,5.005631821,0.005,0.001,1
Ngf,4.96230234,0.015,0.001,0.002360522
Tcf7l2,4.941182976,0.013,0.003,1
Creb5,4.936364266,0.603,0.062,3.0979E-214
Dhrs9,4.934018776,0.035,0.002,1.79297E-11
Gprc5d,4.928940461,0.055,0.003,1.32317E-18
F13a1,4.912244684,0.251,0.02,2.03162E-86
Klc3,4.905475062,0.01,0.001,1
Gng11,4.902903341,0.005,0.001,1
Notumos,4.900178921,0.008,0,0.121586703
Ccl6,4.892833241,0.008,0,1
Mrgpra9,4.888260065,0.008,0.001,1
Pmp22,4.879307208,0.015,0.001,0.142347746
Fli1,4.8461205,0.018,0.004,1
Penk,4.832992902,0.028,0.001,2.64477E-08
Tgfbr2,4.807214274,0.133,0.009,1.31625E-45
Vstm4,4.806805682,0.01,0,0.131570945
Sardhos,4.802899703,0.028,0.002,2.5193E-07
Spata13,4.784303937,0.143,0.012,8.10925E-45
Cd84,4.784090985,0.005,0.002,1
Bmf,4.776442948,0.005,0,1
Ret,4.767805136,0.158,0.015,1.11403E-47
Camk2d,4.756419863,0.211,0.023,1.93584E-60
Bco2,4.752312469,0.005,0.001,1
Dock8,4.736494269,0.048,0.008,3.84874E-07
Cd86,4.71985321,0.013,0.001,0.490440692
Pik3ap1,4.711751488,0.015,0.004,1
Nr1h4,4.710322473,0.01,0.001,1
Aoc3,4.699800915,0.01,0.001,1
Abca1,4.669657418,0.369,0.036,5.8288E-120
Wfdc11,4.669065983,0.02,0.001,0.000356383
Grin2c,4.6599313,0.005,0.001,1
Ppp1r3g,4.656973639,0.008,0,1
Gbp3,4.611266702,0.02,0,1.18455E-07
Slc47a1,4.598914023,0.005,0.005,1
Gucy2f,4.598759429,0.008,0,1
Pard3bos1,4.587635673,0.008,0.001,1
Ctrl,4.582297885,0.005,0.001,1
Ugt2b34,4.581474628,0.005,0,1
Spink5,4.574660275,0.008,0.001,1
Olfr460,4.573903916,0.008,0,0.121586703
Olfr411,4.562202112,0.008,0,0.121586703
Heph,4.561290675,0.008,0.001,1
Asic3,4.551670592,0.023,0.003,0.010997035
Slc39a12,4.541839224,0.013,0.003,1
Fign,4.535684305,0.015,0.001,0.023334485
Samd9l,4.531824967,0.075,0.005,4.90895E-24
Ncmap,4.503622928,0.005,0.001,1
Gab1,4.498780551,0.013,0.003,1
Tent5a,4.494874024,0.015,0.001,0.143984762
Rmst,4.49302684,0.01,0.002,1
Trim30c,4.481932418,0.008,0,1
Fmnl3,4.466252176,0.018,0.003,1
Enpp6,4.45225305,0.018,0.005,1
Pld4,4.445433521,0.008,0.001,1
Cdkn2b,4.439663087,0.01,0.001,1
Ifih1,4.432831387,0.08,0.009,1.81101E-19
Ugt2b5,4.415357269,0.008,0,0.121586703
Smim6,4.40996437,0.005,0.001,1
Ptpn6,4.391313204,0.005,0.001,1
Epha2,4.38979079,0.008,0,1
Eif2ak2,4.380955572,0.226,0.027,4.57717E-60
Abi3,4.378599288,0.005,0.001,1
Aknad1,4.373793708,0.013,0.001,0.06340774
Mmp12,4.364544246,0.02,0.001,4.11261E-05
Arhgap36,4.352666677,0.013,0.001,0.06340774
Kynu,4.348290042,0.025,0.004,0.009295862
Arsj,4.341331944,0.03,0.002,1.14962E-08
Adgre1,4.333183411,0.008,0.003,1
Map7d3,4.331866125,0.005,0.001,1
Trim56,4.323403315,0.018,0.002,0.164424732
Rtp4,4.315355339,0.033,0.003,9.41284E-07
Slamf9,4.307898708,0.005,0.001,1
Prox1,4.288585331,0.005,0,1
Dnah2os,4.274731872,0.008,0,1
Ddr2,4.27173353,0.053,0.006,6.7765E-12
Ebf3,4.26787814,0.003,0.001,1
Olfr732,4.265050451,0.01,0,0.131570945
Plpp3,4.25962606,0.035,0.005,4.34829E-05
Fyb,4.240141451,0.025,0.008,1
Uba7,4.231378878,0.01,0.001,1
Il10ra,4.21162424,0.008,0.003,1
Il1rl2,4.198540922,0.005,0.001,1
Pax5,4.194875647,0.03,0.003,1.44316E-05
Ctsh,4.192091763,0.008,0.003,1
Trim12a,4.184270012,0.01,0.003,1
Mpeg1,4.179664944,0.008,0.002,1
Dcn,4.175211043,0.038,0.005,1.02226E-06
Gdnf,4.167554822,0.005,0.001,1
Aebp1,4.164959701,0.005,0,1
Nuf2,4.16311034,0.005,0.001,1
Isg15,4.150890318,0.08,0.013,2.14444E-14
Sytl5,4.138437492,0.025,0.004,0.027442963
Rgs10,4.118924062,0.01,0.004,1
Ifi203,4.117286395,0.01,0.001,1
Il13ra1,4.109183975,0.008,0.003,1
Psmb9,4.086060533,0.008,0.001,1
Npb,4.078940767,0.005,0,1
Gfap,4.074684996,0.008,0.004,1
Fcrls,4.05877971,0.008,0.002,1
Selenop,4.055433552,0.008,0.002,1
Pla2g1b,4.051836967,0.008,0.001,1
Arhgap33os,4.048359161,0.005,0.001,1
Fcgr4,4.047112137,0.005,0.001,1
Agmo,4.043665566,0.005,0.003,1
Plce1,4.041027604,0.191,0.026,4.35634E-45
Rab44,4.039775744,0.005,0,1
Mill2,4.029654394,0.106,0.013,2.87609E-24
Chtf8,4.026479611,0.005,0,1
Cd48,4.026443971,0.005,0.001,1
Unc93b1,4.020728629,0.008,0.006,1
Adap2os,4.006902336,0.01,0.006,1
Ndrg1,4.005844716,0.068,0.009,2.748E-13
Glrp1,3.999761566,0.005,0.001,1
Daam2,3.984789888,0.005,0.005,1
Lgals12,3.976434806,0.005,0,1
Wscd1,3.976036978,0.005,0,1
Sp100,3.965103226,0.005,0.002,1
Krt88,3.95706801,0.005,0.002,1
Tmem239,3.955042386,0.008,0,1
Emp2,3.954539572,0.065,0.008,8.72074E-15
Platr7,3.950993548,0.005,0,1
Apobec1,3.944016795,0.005,0.001,1
Sdc4,3.943524389,0.005,0.001,1
Olfr77,3.937906495,0.003,0.001,1
Gbp5,3.936541123,0.015,0.002,0.641998885
Tap1,3.936207637,0.013,0.003,1
Olfr1033,3.930613731,0.008,0.002,1
Prss22,3.919087319,0.003,0.001,1
Plcg2,3.916810393,0.015,0.004,1
Tmcc3,3.915951853,0.045,0.024,1
Meis1,3.914387399,0.005,0.001,1
Zcchc12,3.908863049,0.005,0,1
Stc2,3.891290693,0.005,0.001,1
Atp10b,3.880918489,0.025,0.003,0.002911601
Gulo,3.875214562,0.003,0.001,1
Itgb5,3.870800485,0.01,0.007,1
Cnksr3,3.865165087,0.023,0.003,0.003065137
Col11a2,3.862637726,0.018,0.004,1
Rnf213,3.862163488,0.193,0.039,5.95071E-33
Clec2d,3.858515187,0.03,0.003,3.28914E-06
P2ry6,3.845909325,0.005,0.001,1
Tns3,3.841532696,0.023,0.009,1
Sncaip,3.839788712,0.008,0.001,1
Il15,3.833662085,0.005,0.001,1
Psma8,3.826446532,0.005,0.001,1
Smoc2,3.803845737,0.005,0.002,1
Pcolce,3.802380333,0.003,0.001,1
Trem2,3.794352346,0.008,0.002,1
Srpx,3.792346889,0.008,0.002,1
Dkk2,3.788566832,0.095,0.021,1.78152E-12
Cd274,3.78535824,0.043,0.006,2.44191E-07
Zswim2,3.784175244,0.005,0.001,1
C1qc,3.782610994,0.005,0.001,1
Vsir,3.774948518,0.005,0.002,1
Slfn8,3.769193755,0.01,0.003,1
Olfr56,3.76905262,0.025,0.003,0.000196047
Cyp4a12b,3.769019623,0.003,0.001,1
Bicdl2,3.763818941,0.013,0.001,0.491924958
Fcgr1,3.761927496,0.008,0.003,1
Hrk,3.760085487,0.457,0.082,1.345E-104
Cpne2,3.754589582,0.05,0.005,2.73989E-11
Rassf7,3.754378171,0.005,0.001,1
Igsf3,3.751671032,0.008,0.001,1
Cd44,3.74917401,0.053,0.01,8.7875E-07
Ifi27l2b,3.73885876,0.018,0.003,0.544807473
Cd82,3.738518526,0.003,0.001,1
Vwde,3.738238838,0.003,0.001,1
Odf3b,3.732322186,0.005,0.001,1
Dock2,3.731039007,0.018,0.007,1
Colq,3.728800799,0.01,0.001,1
Inpp5d,3.725813794,0.018,0.016,1
Anxa3,3.725102286,0.008,0.005,1
Prdm6,3.723480804,0.003,0.002,1
